Numero;ID;Nombre;Calorias;Proteinas;Carbohidratos;Grasas;TipoMedida;CreadoEn
190;"2d8af0b8-8b3e-599e-4dea-72cbfdd36217";"Pan integral / Centeno / Masa madre";250;9;45;2.5;"g";"2026-05-27T17:10:39.801Z"
191;"2877f118-2bb4-3f7c-401b-7d43d89d4763";"Tortitas de arroz o maíz";380;8;80;3;"unit";"2026-05-27T17:10:39.802Z"
192;"1f083e8b-046a-3aa9-9d15-3e6bcd5decce";"Tortilla de trigo integral";290;8;45;6;"unit";"2026-05-27T17:10:39.802Z"
193;"6baf4d58-1869-9b89-eb4f-ba94c14b3da9";"Tortilla de maíz";220;5;45;2.5;"unit";"2026-05-27T17:10:39.802Z"
194;"5ce7d70f-7071-cd21-bbde-26c8c0b790be";"Batata / Boniato (asado)";86;1.6;20;0.1;"g";"2026-05-27T17:10:39.802Z"
195;"767f1297-74b6-3fc9-236e-a3b034bffd58";"Patata (Asada, Puré, Baby)";77;2;17;0.1;"g";"2026-05-27T17:10:39.802Z"
196;"3d4f9d76-2954-4b48-14d8-ddaa2f89d017";"Quinoa cocida";370;14;64;6;"g";"2026-05-27T17:10:39.802Z"
197;"37b7716f-afa3-f85c-c4f1-fc75bca04a03";"Cuscús integral";350;12;73;1.5;"g";"2026-05-27T17:10:39.802Z"
198;"cb9abbaf-d69a-b5a1-36e6-e1b59c7066be";"Colines / Bastones integrales";390;11;72;5;"g";"2026-05-27T17:10:39.802Z"
199;"48d2ceef-852e-176e-bc73-2581d60022a7";"Granola casera";450;10;60;18;"g";"2026-05-27T17:10:39.802Z"
200;"f159fb0b-2f49-81f8-c6ce-14f988fdd1d9";"Arepa de maíz precocido";360;7;77;2.5;"g";"2026-05-27T17:10:39.802Z"
201;"7d205bde-5951-4d28-ceff-a77554aa69ef";"Garbanzos cocidos";364;19;61;6;"g";"2026-05-27T17:10:39.802Z"
202;"d882277f-0fd3-852c-e469-1fea49e05d39";"Lentejas cocidas";350;25;63;1;"g";"2026-05-27T17:10:39.802Z"
203;"69725e88-bdf5-d6c0-b4be-c69e0a0c6c5a";"Alubias blancas cocidas";330;21;60;0.8;"g";"2026-05-27T17:10:39.802Z"
204;"3083d070-3117-1a2a-c528-ec536596ca5d";"Falafel horneado";250;13;30;8;"g";"2026-05-27T17:10:39.802Z"
205;"d5380d23-34cc-a608-a8f9-9606abc19bd0";"Hummus de garbanzo";170;5;14;10;"g";"2026-05-27T17:10:39.802Z"
206;"f25660f0-6d9f-858b-3902-ab40de3f39fa";"Tofu firme";76;8;1.9;4.8;"g";"2026-05-27T17:10:39.802Z"
207;"8ce7ea37-eb0b-0a14-6c99-c73cdd824559";"Edamame al vapor";120;11;9;5;"g";"2026-05-27T17:10:39.802Z"
208;"49276b77-c05b-5020-34c1-88a655d0b226";"Aguacate (Guacamole)";160;2;9;15;"g";"2026-05-27T17:10:39.802Z"
209;"3418f68c-e835-3924-2fed-471cd5fd96fc";"Aceite de oliva virgen extra";884;0;0;100;"g";"2026-05-27T17:10:39.802Z"
210;"5146da12-abe2-832e-07e5-04db2767ead6";"Crema de cacahuete o almendras";588;25;20;50;"g";"2026-05-27T17:10:39.802Z"
211;"794efe97-cf03-697f-e257-835fdc9e8bb2";"Nueces";654;15;14;65;"g";"2026-05-27T17:10:39.802Z"
212;"909db8c9-7799-7f85-3f58-56b1f79e795d";"Almendras naturales";579;21;22;49;"g";"2026-05-27T17:10:39.802Z"
213;"037db2ed-46ca-c7c6-7bc9-ebd234e073b3";"Pistachos o Anacardos";560;19;29;44.5;"g";"2026-05-27T17:10:39.802Z"
214;"1f9b4ccf-2b7b-79e0-830c-79fa54efb2ba";"Semillas (Chía, Lino, Calabaza)";530;19;30;43;"g";"2026-05-27T17:10:39.802Z"
215;"924bd717-f316-df7d-50c1-4b04a6301a5c";"Plátano";89;1.1;23;0.3;"unit";"2026-05-27T17:10:39.802Z"
216;"71846bd9-33b1-5d85-ccf3-a18fea26f330";"Manzana";52;0.3;14;0.2;"unit";"2026-05-27T17:10:39.802Z"
217;"b846a0b5-9a86-bd9d-3542-dc7899ee1201";"Arándanos frescos";57;0.7;14;0.3;"g";"2026-05-27T17:10:39.802Z"
218;"9d76d0b6-77aa-5a11-a323-42408b8821f1";"Fresas";32;0.7;7.7;0.3;"g";"2026-05-27T17:10:39.802Z"
219;"65366fb4-b6e7-df43-0b2a-09f4c50a6405";"Kiwi";61;1.1;15;0.5;"unit";"2026-05-27T17:10:39.802Z"
220;"bf7a35b8-e8d1-7a21-26dd-faaf2b3f4f72";"Mango";60;0.8;15;0.4;"g";"2026-05-27T17:10:39.802Z"
221;"b8e8c45c-8218-745b-0f22-5b00508e27e9";"Frambuesas";52;1.2;12;0.7;"g";"2026-05-27T17:10:39.802Z"
222;"db1d0ce3-0235-af79-1690-39c3c627ff7c";"Pera";57;0.4;15;0.1;"unit";"2026-05-27T17:10:39.802Z"
223;"202edd22-9785-dcfc-b9d3-5c302a3bcb57";"Piña natural";50;0.5;13;0.1;"g";"2026-05-27T17:10:39.802Z"
224;"8c860a35-77f8-1ade-ec58-c3e6c52bdde3";"Melocotón";39;0.9;9.5;0.3;"unit";"2026-05-27T17:10:39.802Z"
225;"b5bfe23e-b95e-9379-ec84-00b6563752ff";"Papaya";43;0.5;11;0.3;"g";"2026-05-27T17:10:39.802Z"
226;"278fc6ba-b726-b3e6-2873-9d4054d8f4aa";"Higos frescos";74;0.8;19;0.3;"g";"2026-05-27T17:10:39.802Z"
227;"2a637d9a-45e3-d610-4a37-9024da706384";"Uvas rojas";67;0.6;17;0.4;"g";"2026-05-27T17:10:39.802Z"
228;"8f61b1a6-c9c7-0a89-216b-9b27a5be0bb6";"Mandarina";53;0.8;13;0.3;"unit";"2026-05-27T17:10:39.802Z"
229;"56022ee7-1228-9c20-9edc-51fe7391e81c";"Proteína en polvo (Whey)";380;80;5;4;"g";"2026-05-27T17:10:39.802Z"
230;"5d4e4e97-2528-704e-1d0f-31111e3b2716";"Miel de abejas";304;0.3;82;0;"g";"2026-05-27T17:10:39.802Z"
231;"0007c1b8-f4ee-2215-a6cb-7de87c1c7f6e";"Dátil";282;2.5;75;0.4;"unit";"2026-05-27T17:10:39.802Z"
232;"eb293374-8b43-544b-84d0-0e157f740c80";"Cacao puro en polvo";228;20;58;14;"g";"2026-05-27T17:10:39.803Z"
233;"42200ffb-861e-95b5-6c33-da31f4e0b834";"Sirope de ágave";310;0;78;0;"g";"2026-05-27T17:10:39.803Z"
234;"69a6ec9b-66b5-084c-a1d0-9c275a082f37";"Salsa Pesto";529;5.2;6;53;"g";"2026-05-27T17:10:39.803Z"
235;"7ec315b8-26d4-e152-6122-dc74f0504b9d";"Salsa de yogur light";80;3.5;7;4;"g";"2026-05-27T17:10:39.803Z"
236;"99e850fc-4d3d-2808-216d-2a733400d53b";"Fruta contable";70;0.8;16;0.3;"unit";"2026-05-27T17:10:39.803Z"
237;"43cbc3c9-94da-73c7-c03c-47660d79a7a3";"Fruta incontable";50;0.7;11;0.2;"g";"2026-05-27T17:10:39.803Z"
238;"4e8f8d5a-b5b1-9b80-35f9-517b5c94d1eb";"Plátano";89;1.1;23;0.3;"unit";"2026-05-27T17:17:05.809Z"
239;"630d9bc4-e51c-276d-be7a-763226333b4a";"Proteína en polvo (Whey)";380;80;5;4;"g";"2026-05-27T17:17:05.809Z"
